hieroglyph	gardiner_codes	transliteration	english	occurrence
𓏏𓅂𓌙𓀀𓁐𓏥𓈉	J2,X1,G4,T14,A1,B1,Z2,N25	wHAtyw	oasis - dwellers	0.0
𓏥	J2,Z2	wxdw	pain	0.0
𓂝	J2,D36	wt	bandage, bind	0.0
𓏏𓀜	J2,X1,A24	wt	bandage, bind	0.0
𓏥	J2,Z2	wt	wrappings	0.0
𓏏𓅱𓍱	J2,X1,G43,V6	wt	mummy - wrapping	0.0
𓂝𓀀	J2,D36,A1	wt	embalmer, bandager	0.0
𓏏𓂡𓀀	J2,X1,D40,A1	wt	embalmer, bandager	0.0
𓏤	J2,Z1	Hsb	fracture	0.0
𓏛	J2,Y1	Hsb	count, reckon	0.0
𓏛	J2,Y1	Hsb	account	0.0
𓅱𓀐	J2,G43,A14	Hsbw	doom	0.0
𓏤𓀀	J2,Z1,A1	Hsb	workman	0.0
𓏥	J2,Z2	Xpw	figures (inlaid in metal)	0.0
𓂋𓏛	J20,D21,Y1	apr	provide, equip, acquire, incur, man (a vessel)	0.0
𓂋𓅱𓏛𓏥	J20,D21,G43,Y1,Z2	aprw	equipment	0.0
𓅱𓈓	J20,G43,N33A	aprw	jewellery	0.0
𓂋𓅱	J20,D21,G43	aprw	jewellery	0.0
𓂋𓈓	J20,D21,N33A	aprw	jewellery	0.0
𓂋𓏏𓏊	J20,D21,X1,W22	aprt	type of jar	0.0
𓂋𓅱𓀀𓏥	J20,D21,G43,A1,Z2	aprw	sailors, workmen	0.0
𓀀𓀀𓀀	J20,J20,J20,A1,A1,A1	aprw	sailors	0.0
𓂝𓏛	J21,D36,Y1	wDa	be parted (of lips of wound)	0.0
𓀭	J21,A40	wDa	he who is judged	0.0
𓏏𓏛𓁐	J21,X1,Y1,B1	wDat	divorced woman	0.0
𓌃𓂧𓅱𓀁𓏪	J21,S43,D46,G43,A2,Z3	wDa  mdw	judge, litigate, have judgement (against), judgement	0.0
𓌃𓂝𓏝	J21,S43,D36,Y2	wDa  mdw	judge, litigate (with)	0.0
𓌃𓏝	J21,S43,Y2	wDa  mdw	judge, litigate (with)	0.0
𓂝𓏛𓂋𓇋𓇋𓏏𓏛	J21,D36,Y1,D21,M17,M17,X1,Y1	wDa  rwt	judge	0.0
𓇋𓇋𓏏𓆇	J21,M17,M17,X1,H8	wDayt	mussel ?, shell  (to hold ink?)	0.0
𓅱𓂝𓏏𓏯	J21,G43,D36,X1,Z5	wDayt	shell (to hold ink ?)	0.0
𓂋𓏤𓇋𓏏𓇋	J22,D21,Z1,M17,X1,M17	wDa  rwt	judge	0.0
𓂧𓀜	J23,D46,A24	mDd	press on (with orders)	0.0
𓏛	J23,Y1	mDd	press on	0.0
𓀀	J25,A1	smA	priest (who clothed the god)	0.0
𓏌𓂝	J27,W24,D36	nD	grind	0.0
𓏌𓏲𓌽𓏥	J27,W24,Z7,U9,Z2	nD	flour	0.0
𓏌𓏥	J27,W24,Z2	nD	flour	0.0
𓏌𓅱	J27,W24,G43,A143A	nDw	miller	0.0
𓏌𓏏𓏮𓁐𓏪	J27,W24,X1,Z4A,B1,Z3	nDtyw	maidservants ?	0.0
𓏌𓀁	J27,W24,A2	nD	enquire about (something)	0.0
𓏌	J27,W24	nD	take counsel, ask advice	0.0
𓏌𓂝	J27,W24,D36	nD	save, protect, guard against (magic), make good (harm), protection, protector	0.0
	J27	nD	save, protect	0.0
𓏌𓏛	J27,W24,Y1	nD	protection	0.0
𓏌𓀁𓂋𓏤	J27,W24,A2,D21,Z1	nD  r	take counsel, consult, question, greet	0.0
𓏏𓅱𓂋𓏤	J27,X1,G43,D21,Z1	nDwt  r	counsel	0.0
𓆓𓏏𓂋𓏤	J27,I10,X1,D21,Z1	nDwt  r	counsel	0.0
𓁷	J27,D2	nD  Hr	greet	0.0
𓏌𓏛𓁷𓏤	J27,W24,Y1,D2,Z1	nD  Hr	protect	0.0
𓏌𓀁𓁷𓏤	J27,W24,A2,D2,Z1	nD  Hr	greet	0.0
𓏌𓏏𓁷𓏤	J27,W24,X1,D2,Z1	nDt  Hr	gifts	0.0
𓆓𓁷	J27,I10,D2	nDt  Hr	gifts	0.0
𓏌𓀁𓂋𓏏𓏛𓏥	J27,W24,A2,J1,D21,X1,Y1,Z2	nD  xrt	greeting !	0.0
𓆓𓏌𓂋𓏏	J27,I10,W24,J1,D21,X1	nD  xrt	greet	0.0
𓏌𓏏𓏭𓂡	J27,W24,X1,Z4,D40	nDty	protector	0.0
𓏌𓏏𓏏	J27,W24,X1,X1	nDtt	protectress	0.0
𓏌𓋳	J27,W24,S28	nD	thread	0.0
𓏌𓏌𓀁	J27,W24,J27,W24,A2	nDnD	advice, counsel	0.0
𓂧𓏌	J28,D46,W24	qd	pot	0.0
𓂧𓏌	J28,D46,W24	qd	use the potter''s wheel	0.0
𓂧𓏌	J28,D46,W24,C35	qd	potter (as epitaph of Khnum)	0.0
𓂧𓂂	J28,D46,D12,A158	qd	build, fashion (men)	0.0
𓂧𓀨	J28,D46,A35	qd	build, fashion (men)	0.0
𓂧𓏌𓀢𓀜	J28,D46,W24,A30,A24	qd	build, fashion (men)	0.0
𓊅𓀀	J28,O36,A1	qd	builder	0.0
𓊅𓀜𓀀	J28,O36,A24,A1	qd	builder	0.0
𓂧𓂂𓏛	J28,D46,D12,Y1	qd	form, nature, reputation, character, disposition, extent	0.0
𓂂	J28,D12	qd	form, nature, reputation, character, disposition, extent	0.0
𓂧𓏌𓏛𓏥	J28,D46,W24,Y1,Z2	qd	form, nature, reputation, character, disposition, extent	0.0
𓂧𓏌𓂻	J28,D46,W24,D54	qd	go round	0.0
𓂧𓏌𓏛	J28,D46,W24,Y1	qd	go round	0.0
𓂧𓏌𓁹	J28,D46,W24,D4	qd	sleep	0.0
𓏏𓊌	J28,X1,O39	qdt	kite (weight of one tenth of a deben)	0.0
𓂧𓅱𓀏𓏪	J28,D46,G43,A13,Z3	qdw	men of Kode	0.0
𓂧𓏌𓅱𓏏𓏛𓏥	J28,D46,W24,G43,X1,Y1,Z2	qdwt	drawings	0.0
𓅱𓏏𓏥	J28,G43,X1,Z2	qdwt	drawings	0.0
𓂧𓏏𓏛𓏥	J28,D46,X1,Y1,Z2	qdwt	drawings	0.0
𓂧𓆑𓂷𓂡	J28,D46,I9,D51,D40	qdf	gather (flowers, sayings)	0.0
𓂧𓏌𓏏𓅓	J28,D46,W24,X1,G17,L17	qdtm	praying mantis	0.0
𓂧𓏌𓏏𓏏𓆭	J28,D46,W24,X1,X1,M1	qdtt	a conifer (from Syria)	0.0
𓂧𓂧𓅱𓂂𓏝𓏥	J28,D46,D46,G43,D12,Y2,Z2	qddw	characters (of people)	0.0
𓂧𓂧𓏌𓁼	J28,D46,D46,W24,D7	qdd	sleep	0.0
𓂧𓂧𓁻	J28,D46,D46,D6	qdd	sleep	0.0
𓏥	J30,Y1V,Z2	Xkrw	panoply, insignia	0.0
	J30	Xkrw	insignia	0.0
𓏪	J30,Z3	Xkrw	ornaments	0.0
𓏏𓈉	J32,X1,N25	sty	Nubia	0.0
𓏏𓏳	J32,X1,Z8	sty	Nubia	0.0
𓏏𓅂𓌙𓀀𓈓	J32,X1,G4,T14,A1,N33A	styw	Nubians	0.0
𓏏𓈉𓌙𓀀𓈓	J32,X1,N25,T14,A1,N33A	styw	Nubians	0.0
𓏏𓏭𓈒𓏥	J32,X1,Z4,N33,Z2	sty	Nubian mineral (ochre ?)	0.0
𓏏𓏤	J5,X1,Z1	Hpt	oar	0.0
𓏏𓊤	J5,X1,P8	Hpt	oar	0.0
𓊪𓇋𓇋𓀭	J5,Q3,M17,M17,A40	Hpy	Hapy (a son of Horus)	0.0
𓊪𓀭	J5,Q3,A40	Hpy	Hapy   (one of the four sons of Horus)	0.0
𓊪𓅱𓏏𓏭𓂻	J5,Q3,G43,X1,Z4,D54	Hpwty	runner	0.0
𓏥	J5A,Z2	Hpt	oar	0.0
𓊪𓃒	J5A,Q3,E1	Hpw	Apis Bull	0.0
𓋹	J7,S34,A223	sqr  anx	captive, living prisoner	0.0
𓏏𓏤	J8,X1,Z1	spAt	district, nome	0.0
𓏏𓈉	J8,X1,N25	smyt	desert, necropolis	0.0
𓈖𓏛	J8,N35,Y1	qn	complete, accomplish, cease	0.0
𓈖𓏛	J8,N35,Y1	qn	be provided (with)	0.0
𓈖𓏛	J8,N35,Y1	qn	first quality, best quality	0.0
𓈖	J8,N35,Z28	qn	mat	0.0
𓈖	J8,N35,J19	qn	mat	0.0
𓈇𓏤	J8,N23,Z1	Ts	sandbank	0.0
𓏏𓏏	J8,X1,X1	DAtt	estate	0.0
𓏏𓊖	J8,X1,O49	DAtt	estate	0.0
𓈇𓏤	J8,N23,Z1	DAtt	estate	0.0
𓆝𓈘	K3,N36	aD  mr	administrator	0.0
𓆞𓏏𓏤𓆟	K4,X1,Z1,K5	XAt	oxyrhynchus fish (mormyrus kannume)	0.0
𓆞𓏏	K4,X1,J2	XAt	corpse	0.0
𓆞𓏏𓄿𓀐	K4,X1,G1,A14	XAt	corpse	0.0
𓆞𓄿𓇋𓇋𓏏𓏥	K4,G1,M17,M17,X1,j2,z2	XAyt	heap of corpses	0.0
𓆞𓄿𓏏𓀐𓏥	K4,G1,X1,A14,Z2	XAyt	heap of corpses	0.0
𓆞𓄿𓏏𓏪	K4,G1,X1,J2,Z3	XAt	disease	0.0
𓆞𓄿𓏏𓈇	K4,G1,X1,N23	XAt	marsh	0.0
𓆞𓄿𓄿𓆱	K4,G1,G1,M3	XAA	clothes peg ?	0.0
𓆞𓄿𓄿𓏛	K4,G1,G1,Y1	XAA	resolute	0.0
𓆞𓄿𓇋𓇋𓀜	K4,G1,M17,M17,A24	XAy	thwart (someone)	0.0
𓆞𓄿𓇋𓇋𓀁	K4,G1,M17,M17,A2	XAy	thwart (someone)	0.0
𓆞𓄿𓃀𓏏𓍢	K4,G1,D58,X1,V1	XAbt	curl (on Red crown)	0.0
𓆞𓃀𓍢	K4,D58,V1	XAbt	curl (on Red crown)	0.0
𓆞𓄿𓃀𓌳	K4,G1,D58,U1	XAb	clavicle	0.0
𓆞𓄿𓃀𓏯𓄹	K4,G1,D58,Z5,F51	XAb	clavicle	0.0
𓆞𓄿𓃀𓌳𓆱	K4,G1,D58,U1,M3	XAb	sickle	0.0
𓆞𓄿𓃀	K4,G1,D58,U1B	XAb	crooked, crookedness, crookedly	0.0
𓆞𓄿𓃀𓂢	K4,G1,D58,U1B,D41	XAb	crooked, crookedness, crookedly	0.0
𓆞𓄿𓃀𓂢	K4,G1,D58,U1B,D41	XAb	crooked, crookedness, crookedly	0.0
𓆞𓄿𓃀𓃀𓄒𓄒	K4,G1,D58,D58,F19,F19	XAbb	crookedness	0.0
𓆞𓄿𓅓𓂘	K4,G1,G17,D32	XAm	bend down (arms in respect)	0.0
𓆞𓄿𓅓𓏏𓏊𓏥	K4,G1,G17,X1,W22,Z2	XAmt	a type of beer	0.0
𓆞𓄿𓅓𓏏𓂘	K4,G1,G17,X1,D32	XAmt	a type of beer	0.0
𓆞𓅓𓏏𓏛𓏥	K4,G17,D200,J1,X1,Y1,Z2	XAmt  xt	type of offerings	0.0
𓆞𓂋𓎅	K4,D21,V19	XAr	sack, leather bag	0.0
𓆞𓄿𓂋𓎅𓏤	K4,G1,D21,V19,Z1	XAr	sack, leather bag	0.0
𓆞𓄿𓂋𓏏𓁸𓁐	K4,G1,D21,X1,D3,B1	XArt	widow	0.0
𓆞𓄿𓂋𓏏𓁐	K4,G1,D21,X1,B1	XArt	widow	0.0
𓆞𓄿𓂋𓏏𓅪𓁐	K4,G1,D21,X1,G37,B1	XArt	widow	0.0
𓆞𓄿𓆞𓄿𓍘𓇲	K4,G1,K4,G1,U33,N4	XAXAti	storm	0.0
𓆞𓄿𓎡𓅱𓄣𓏤𓀏𓏪	K4,G1,V31,G43,F34,Z1,A13,Z3	XAkw  ib	disaffected persons	0.0
𓆠𓏥	K6,Z2	nSmwt	scales (of fish)	0.0
𓆠	K6	nSmwt	scales (of fish)	0.0
𓆡𓏏	K7,X1	Spt	be discontented, angry	0.0
𓆣𓂋𓅓	L1,D21,G17	xpr  m	amounts to	0.0
𓆣𓂋𓋴𓆓𓆑	L1,D21,S29,I10,I9	xpr  Ds  .f	who came into being of  himself (of sun god), fermentation ?	0.0
𓆣𓂋𓇋𓇋𓀔𓏪	L1,D21,M17,M17,A17,Z3	xpry	children	0.0
𓆣𓂋𓀀𓏥	L1,D21,A1,Z2	xpry	children	0.0
𓆣𓂋𓅱𓀾𓏛𓏥	L1,D21,G43,A53,Y1,Z2	xprw	form, shape, modes of being	0.0
𓆣𓏥	L1,Z2	xprw	form, shape, modes of being	0.0
𓆣𓂋𓏥	L1,D21,Z2	xprw	form, shape, modes of being	0.0
𓆣𓆣𓆣	L1,L1,L1	xprw	form, shape, modes of being	0.0
𓆣𓅱𓏛𓏥	L1,G43,Y1,Z2	xprw	form, shape, modes of being	0.0
𓆣𓂋𓏲𓀾𓏪	L1,D21,Z7,A53,Z3	xprw	form, shape	0.0
𓆣𓂋𓇋𓇋𓀾𓅆	L1,D21,M17,M17,A53,G7	xprw	form, shape	0.0
𓆣𓂋𓂋𓅆	L1,D21,D21,G7	xprr	Khopri	0.0
𓆣𓂋𓅆	L1,D21,G7	xprr	Khopri	0.0
𓆣𓂋𓈙𓋙	L1,D21,N37,S7	xprS	the Blue Crown	0.0
𓆤𓏏𓄿𓇇𓊖	L2,X1,G1,J1,M15,O49	Ax  bit	Chemmis	0.0
𓆤𓏏𓏤	L2,X1,Z1	bit	bee	0.0
𓆤𓏏𓏌𓏥	L2,X1,W24,Z2	bit	honey	0.0
𓆤𓏏𓏯	L2,X1,Z5	bit	Crown of Lower Egypt	0.0
𓆤𓏏𓏯𓆗	L2,X1,Z5,I12	bit	goddess of Lower Egypt	0.0
𓆤𓏏𓏭𓀵	L2,X1,Z4,A45	bity	King of Lower Egypt	0.0
𓆤𓏏𓉐	L2,X1,O1	pr  bity	Palace of King of Lower Egypt	0.0
𓆩𓏏𓊯	L6,X1,R1	xAwt	altar	0.0
𓆫	L7	srqt	Selket  (scorpion goddess)	0.0
𓆭𓅓𓆭	M1,G17,M1	imA	a tree	0.0
𓆭𓅓𓏛	M1,G17,Y1	imA	be gracious	0.0
𓆭𓏛𓁷𓏤	M1,Y1,D2,Z1	imA  Hr	gracious of countenance	0.0
𓆭𓅓𓏏𓏛𓏥	M1,G17,X1,Y1,Z2	imAt	charm, kindliness, graciousness	0.0
𓆭𓏏𓏛	M1,X1,Y1	imAt	charm, kindliness, graciousness	0.0
𓆭𓅓𓅱𓇶𓏥	M1,G17,G43,N8,Z2	imAw	brilliance, splendour	0.0
𓆭𓅱𓇶	M1,G43,N8	imAw	brilliance, splendour	0.0
𓆭𓇶𓏥	M1,J15,N8,Z2	imAw	brilliance, splendour	0.0
𓆭𓅓𓅱𓇶	M1,G17,G43,J15,N8	imAw	brilliance, splendour	0.0
𓆭𓅓𓅱𓉐	M1,G17,G43,O1	imAw	tent, hut	0.0
𓆭𓅓𓉐	M1,G17,O1	imAw	tent	0.0
𓆭𓅱𓉐	M1,G43,O1	imAw	tent	0.0
𓆻𓈖𓏛	M11,N35,Y1	wdnw	offerings	0.0
𓆼𓏤𓏥	M12,Z1,Z2	xAw	thousands	0.0
𓆼𓅱𓆰𓏥	M12,G43,M2,Z2	xAw	plants, flowers	0.0
𓆼𓏤𓆰𓏥	M12,Z1,M2,Z2	xAw	plants, flowers	0.0
𓆼𓄿𓅱𓆰𓏥	M12,G1,G43,M2,Z2	xAw	plants, flowers	0.0
𓆼𓆼𓆼𓆰𓆰𓆰	M12,M12,M12,M2,M2,M2	xAw	plants, flowers	0.0
𓆼𓅱𓆱𓏥	M12,G43,M3,Z2	xAw	plants	0.0
𓆼𓇾𓈇𓏤	M12,N16,N23,Z1	xA  tA	land measure (approx 10 Arouras), type of Crown land	0.0
𓆼𓄿𓀔𓅪	M12,G1,A17,G37	xA	be young, little	0.0
𓆼𓄿𓉐	M12,G1,O1	xA	office, bureau	0.0
𓆼𓉐	M12,O1	xA	office, bureau	0.0
𓆼𓄿𓉹	M12,G1,O27	xA	office, bureau	0.0
𓆼𓄿𓏏𓈇𓏤	M12,G1,X1,N23,Z1	xAt	marsh	0.0
𓆼𓄿𓏏𓏥	M12,G1,X1,J2,Z2	xAt	corpse	0.0
𓆼𓇋𓇋𓏏𓀒	M12,M17,M17,X1,A15	xAyt	slaughter, massacre	0.0
𓆼𓏏𓏥	M12,X1,A98,Z2	xAyt	slaughter, massacre	0.0
𓆼𓄿𓇋𓇋𓏏𓅪𓏥	M12,G1,M17,M17,X1,J2,G37,Z2	xAyt	disease	0.0
𓆼𓄿𓏏𓅪𓏥	M12,G1,X1,J2,G37,Z2	xAyt	disease	0.0
𓆼𓄿𓂡	M12,G1,D40	xAi	measure, examine (patient), patrol	0.0
𓆼𓇋𓇋𓂷𓂡	M12,M17,M17,D51,D40	xAi	measure, examine (patient),	0.0
𓆼𓌽𓂡	M12,U9,D40	xAi	measure, examine (patient), patrol	0.0
𓆼𓄿𓇋𓇋𓌙𓌙𓏛𓏥	M12,G1,M17,M17,T14,T14,Y1,Z2	xAyw	measurements	0.0
𓆼𓄿𓇋𓇋𓌙𓌙𓍢	M12,G1,M17,M17,T14,T14,V1	xAy	plumb-line, rule (of conduct)	0.0
𓆼𓄿𓇋𓇋𓍢	M12,G1,M17,M17,V1	xAy	plumb-line, rule (of conduct)	0.0
𓆼𓄿𓇋𓇋𓊯	M12,G1,M17,M17,R1	xAy	altar	0.0
𓆼𓏏𓏏𓊰	M12,J1,X1,X1,R2	xAwt	altar	0.0
𓆼𓄿𓇋𓇋𓏏	M12,G1,M17,M17,X1,R1E	xAwt	altar	0.0
𓆼𓄿𓂝𓂡	M12,G1,D36,D40	xAa	throw, strike down (with disease), cast off (bonds), abandon (property)	0.0
𓆼𓄿𓂝𓂡	M12,G1,D36,D40	xAa	despatch (messages), thrust, harpoon (hippo) , play ?, drip (sweat)	0.0
𓆼𓂝𓂻	M12,D36,D54	xAa	strike down (with disease)	0.0
𓆼𓄿𓂝𓂷	M12,G1,D36,D51	xAa	drip (sweat)	0.0
𓆼𓄿𓂝𓂺	M12,G1,D36,D53	xAa	urination	0.0
𓆼𓄿𓂝𓅱𓂻𓏥	M12,G1,D36,G43,D54,Z2	xAaw	discharges (medical)	0.0
𓆼𓅱𓎺	M12,G43,W10	xAw	bowl	0.0
𓆼𓅱	M12,G43,R36	xAw	bowl	0.0
𓆼𓄿𓅱𓏭𓇰	M12,G1,G43,Z4,N2	xAwy	night	0.0
𓆼𓄿𓏲𓏭𓇰𓏛𓀀	M12,G1,Z7,Z4,N2,Y1,A1	xAwy	benighted traveller	0.0
𓆼𓄿𓃀𓃯	M12,G1,D58,E25	xAb	hippopotamus	0.0
𓆼𓅡𓋴𓇼𓇼𓇼	M12,G29,S29,N14,N14,N14	xAbAs	the starry sky	0.0
𓆼𓃀𓋴𓅱𓇼𓏥	M12,D58,S29,G43,N14,Z2	xAbAs	the starry sky	0.0
𓆼𓄿𓃀𓃀𓄒𓄒	M12,G1,D58,D58,F19,F19	xAbb	crookedness	0.0
𓆼𓄿𓆑𓂝𓂡	M12,G1,I9,D36,D40	xfa	grasp	0.0
𓆼𓅓𓂢	M12,G17,D41	xAm	bend (arm in respect)	0.0
𓆼𓄿𓅓𓀜	M12,G1,G17,A24	xAm	bend (arm in respect)	0.0
𓆼𓄿𓅓𓂘	M12,G1,G17,D32	xAm	bend (arm in respect)	0.0
𓆼𓄿𓅓𓂢𓂡	M12,G1,G17,D41,D40	xAm	bend (arm in respect)	0.0
𓆼𓈖𓈖𓏏	M12,N35,N35,X1,M54	mAmA  n  xAnnt	variety of date-palm	0.0
𓆼𓄿𓂋𓏏𓅪𓁐	M12,G1,D21,X1,G37,B1	xArt	widow	0.0
𓆼𓄿𓂋𓏭𓁸	M12,G1,D21,Z4,D3	xAry	be wifeless	0.0
𓆼𓂋𓂻	M12,D21,D54	xAr	bolt (of horses) ?	0.0
𓆼𓄿𓃭𓏤𓌙𓈉	M12,G1,E23,Z1,T14,N25	xArw	Khor	0.0
𓆼𓃭𓈉	M12,E23,N25	xArw	Khor	0.0
𓆼𓃭𓅱𓀏	M12,E23,G43,A13	xArw	Khorian	0.0
𓆼𓃭𓀏	M12,E23,A13	xArw	Khorian	0.0
𓆼𓄿𓂻	M12,G1,J1,D54	xAx	be speedy, swift, hasten, hurry	0.0
𓆼𓂻	M12,J1,D54	xAx	be speedy, swift	0.0
𓆼𓄿𓂻𓄣𓏤	M12,G1,J1,D54,F34,Z1	xAx  ib	impatient	0.0
𓆼𓄿𓂝	M12,G1,J1,D36	xAx	spear (fish)	0.0
𓆼𓄿𓆼𓄿𓊡𓂝	M12,G1,M12,G1,P5,D36	xAxA	winnow	0.0
𓆼𓄿𓊃𓂻	M12,G1,O34,D54	xAs	scramble ?	0.0
𓆼𓄿𓊃𓏴𓈇𓏤	M12,G1,O34,Z9,N23,Z1	xAs	creek ?   runnel  ?	0.0
𓆼𓄿𓋴𓍢	M12,G1,S29,V1	xAs	curl on front of Red Crown ?	0.0
𓆼𓋴𓏏𓈉	M12,S29,X1,N25	xAst	hill country, foreign land, desert	0.0
𓆼𓋴𓍿𓈉	M12,J1,S29,V13,N25	xAst	hill country, foreign land, desert	0.0
𓆼𓄿𓋴𓇋𓇋𓏏𓆰𓏥	M12,G1,S29,M17,M17,X1,M2,Z2	xAsyt	bryony ?	0.0
𓆼𓄿𓈖𓏥𓋴𓇋𓇋𓏏𓆰𓏪	M12,G1,N35,Z2,S29,M17,M17,X1,M2,Z3	xAsyt	bryony ?	0.0
𓆼𓏏𓏭𓉐	M12,X1,Z4,O1	xAty	office	0.0
𓆼𓄿𓆓𓈒𓈒𓈒	M12,G1,I10,N33,N33,N33	xAD	dough	0.0
𓆼𓄿𓆑𓂝𓂡	M12,G1,I9,D36,D40	xfa	grasp, make captures (in war)	0.0
𓆼𓄿𓆑𓂝𓂡	M12,G1,I9,D36,D40	xfa	booty	0.0
𓆼𓈖𓃭𓄛	M12,N35,E23,F27	xnr	reins	0.0
𓆼𓈖𓏥𓃭𓏤𓄛	M12,N35,Z2,E23,Z1,F27	xnr	reins	0.0
𓆼𓄿𓈖𓏥𓋴𓇋𓇋𓏏𓆰	M12,G1,N35,Z2,S29,M17,M17,X1,M2	xAsyt	bryony ?	0.0
𓇅𓏤𓊌	M13,Z1,O39	wAD	wadj  amulet	0.0
𓇅𓆓𓏛	M13,I10,Y1	wAD	green, pale, fresh, raw, hale, sturdy, fortunate, happy, make green, make to flourish	0.0
𓇅𓆓𓏛𓀀	M13,I10,Y1,A1	wAD	fortunate man	0.0
𓇅𓅱𓈓	M13,G43,N33A	wAD	a green stone, malachite	0.0
𓇅	M13,D7A	wADw	green eye - paint	0.0
𓇅𓏏𓏥	M13,X1,Z2	wADt	rawness	0.0
𓇅𓇋𓇋𓏏𓆗	M13,M17,M17,X1,I12	wADyt	Edjo  (Cobra goddess)	0.0
𓇅𓏏𓆘	M13,X1,I13	wADyt	cobra goddess	0.0
𓇅𓏏𓏭𓆗𓆗𓎟	M13,X1,Z4,I12,I12,V30	wADyty	the two serpent goddesses of Upper and Lower Egypt	0.0
𓇅𓇋𓇋𓏏𓉐	M13,M17,M17,X1,O1	wADyt	hall of columns	0.0
𓇅𓅨𓈘	M13,G36,N36	wAD  wr	the sea	0.0
𓇅𓆓𓅨𓈗𓈘	M13,I10,G36,N35A,N36	wAD  wr	the sea	0.0
𓇅𓎛𓀖	M13,V28,A18	wDH	weaned child (of royalty)	0.0
𓏤𓆰	M13A,Z1,M2	wAD	papyrus plant	0.0
𓏤	M13A,Z1	wAD	papyrus plant	0.0
𓎛𓅱𓊲	M13A,V28,G43,R3	wdHw	offering table	0.0
𓅱𓏛	M13A,G43,Y1	wD	see other entries under wD  (command  etc)	0.0
𓅱𓏏𓏛	M13A,G43,X1,Y1	wDt	command, decree	0.0
𓇆𓊌	M14,O39	wAD	a green stone (malachite ?)	0.0
𓇆𓏏𓋳	M14,X1,S28	wADt	green linen	0.0
𓇆𓏲𓏛𓏥	M14,Z7,Y1,Z2	wADw	success, happiness	0.0
𓇆𓇋𓇋𓏏𓉐	M14,M17,M17,X1,O1	wADyt	hall of columns	0.0
𓇆𓅨𓂋𓈘	M14,G36,D21,N36	wAD  wr	the Great Green (Sea)	0.0
𓇆𓅨𓂋𓇋𓈗𓈘𓈅𓏤	M14,G36,D21,M17,N35A,N36,N21,Z1	wAD  wr	the sea	0.0
𓇆𓆓𓏏𓆰𓏥	M14,I10,X1,M2,Z2	wADDyt	vegetation	0.0
𓇇𓆤𓏏𓊖	M15,L2,X1,O49	Ax  bit	Chemmis	0.0
𓇇𓅱𓀀	M15,G43,A1	idHy	marsh - man	0.0
𓇇𓇋𓇋𓏏𓆰	M15,M17,M17,X1,M2	mHyt	papyrus plant, clump of papyrus	0.0
𓇇𓏏𓆰	M15,X1,M2	mHyt	papyrus plant, clump of papyrus	0.0
𓇇𓋔𓊃	M15,S3,O34	mHw .s	Crown of Lower Egypt	0.0
𓇉𓋴𓋔	M16,S29,S3	mHw .s	Crown of Lower Egypt	0.0
𓇉𓅱𓎟𓎟𓎟	M16,G43,V30,V30,V30	HAw  nbwt	(the Aegean) Islanders	0.0
𓇉𓄿𓅱𓏥𓎟𓏏𓈓	M16,G1,G43,Z2,V30,X1,N33A	HAw  nbwt	(the Aegean) Islanders	0.0
𓇉𓄿𓏏𓏒𓏥	M16,G1,X1,X4,Z2	HAt	food	0.0
𓇉𓏏𓄣	M16,X1,F34	HAty	heart	0.0
𓇉𓄿𓀠	M16,G1,A28	HAi	screech (of falcon)	0.0
𓇉𓇋𓇋𓏏𓅪	M16,M17,M17,X1,G37	HAyt	mourning	0.0
𓇉𓄿𓅱𓀠𓏥	M16,G1,G43,A28,Z2	HAw	mourners	0.0
𓇉𓄿𓀁	M16,G1,A2	HA	would that !, O!	0.0
𓇉𓄿𓏏𓉐	M16,G1,X1,O1	HAt	tomb	0.0
𓇉𓄿𓁶𓉐	M16,G1,D1,O1	HA	outside	0.0
𓇉𓄿𓉐	M16,G1,O1	HA	outside	0.0
𓇉𓄿𓇋𓇋𓀭	M16,G1,M17,M17,A40	HAy	protector	0.0
𓇉𓇋𓇋	M16,M17,M17	HAy	protector	0.0
𓇉𓄿𓇋𓉐	M16,G1,M17,O1	HAi	outer parts ? (of house)	0.0
𓇉𓅱𓎟𓎟𓎟	M16,G43,V30,V30,V30	HAw  nbw	(Aegean) Islanders, Isles	0.0
𓇉𓄿𓊛	M16,G1,P1	HA	go ashore, run aground (of ship)	0.0
𓇉𓄿𓅱𓏏𓋳	M16,G1,G43,X1,S28	HAwt	nakedness	0.0
𓇉𓄿𓇋𓇋𓏏𓋳𓏪	M16,G1,M17,M17,X1,S28,Z3	HAwt	nakedness	0.0
𓇉𓄿𓏭𓅱𓋳𓀀	M16,G1,Z4,G43,S28,A1	HAwy	naked man	0.0
𓇉𓄿𓏭𓋳𓀀	M16,G1,Z4,S28,A1	HAwy	naked man	0.0
𓇉𓄿𓇋𓇋𓏏𓋳	M16,G1,M17,M17,X1,S28	HAyt	bandage	0.0
𓇉𓄿𓇋𓇋𓏏𓈗	M16,G1,M17,M17,X1,N35A	HAyt	flood water	0.0
𓇉𓄿𓇋𓇋𓅱𓌪𓄿𓏪	M16,G1,M17,M17,G43,T30,G1,Z3	HAyw	carrion - birds	0.0
𓇉𓄿𓅱𓏛𓏥	M16,G1,G43,Y1,Z2	HAw	wealth, increase, excess, surplus	0.0
𓇉𓄿𓅱𓏛𓏥𓈖	M16,G1,G43,Y1,Z2,N35	HAw  n	most of	0.0
