hieroglyph	gardiner_codes	transliteration	english	occurrence
𓁶𓏤	D1,Z1	tp	upon	7.04286
𓁶𓏤	D1,Z1	DADA	head, tip (of bow)	7.04286
𓀨	A35	qd	builder	7.0
𓂓𓏤	D28,Z1	kA	soul, spirit, essence (of a being), personality, fortune, will (of king), kingship, goodwill, phantom	7.0
𓂓𓏤	D28,Z1	kAw	food	7.0
𓄭𓂻	F42,D54	spr	arrive, reach, come	7.0
𓅷𓏤	G47,Z1	TA	fledgling (figurative  for Child)	7.0
𓋹𓍑𓋴	S34,U28,S29	anx  wDA  snb	may he live, be prosperous and healthy	7.0
𓎟𓏏	V30,X1	nbt	lady, mistress	7.0
𓄂𓏏𓏤	F4,X1,Z1	HAt	forehead, forepart (of animal), prow (of ship), vanguard (of army)	6.83333
𓄂𓏏𓏤	F4,X1,Z1	HAt	beginning (of region), foremost, chief, the best of,	6.83333
𓅓𓅓	G17,G17	m  m	among, therein	6.83333
𓅓𓅓	G17,G17	m  m	therein	6.83333
𓅓𓅓	G17,G17	mm	transport (cattle)	6.83333
𓈖𓄿	N35,G1	nA	this, these, the, here, hither	6.8
𓊃𓏭	O34,Z4	sy	she, her, it	6.75
𓆼𓄿𓂝𓂻	M12,G1,D36,D54	xAa	throw	6.66667
𓀔𓀀	A17,A1	Xrd	child	6.5
𓀔𓀀	A17,A1	Xrd	be, become a child	6.5
𓎿	W14	Hsi	spin (yarn)	6.5
𓎿	W14	Hsi	favour (someone), praise (someone0	6.5
𓆑𓏭	I9,Z4	fy	his, its	6.33333
𓂀	D10	wDAt	the uninjured eye of Horus	6.0
𓅿	H1	Apd	duck, bird (en general)	6.0
𓇍𓇋𓂻	M18,M17,D54	ii	come, return	6.0
𓇛	M29	nDm	sweet (of flavour, odour)	6.0
𓇹	N11	Abd	month	6.0
𓇹	N11	Ssp	palm (of hand), one seventh of a cubit (measurement)	6.0
𓈙𓅓𓅓𓊮	N37,G17,G17,Q7	Smm	be warm, hot, have fever, become feverish	6.0
𓋀𓏏𓏏𓈉	R14,X1,X1,N25	imntt	the West	6.0
𓋽	S37	xw	fan	6.0
𓌟𓏤	T19,Z1	qs	bone	6.0
𓌐	T8	tpy	being upon, principal, first, high (priest)	6.0
